local1,vs1,visitante1
C.A. VÉLEZ SARSFIELD,c.,C.A. BANFIELD
C. DEP. GODOY CRUZ A.T.,c.,C.A. SAN MARTÍN (S.J.)
C.A. LANÚS,c.,A.A. ARGENTINOS JRS.
C. OLIMPO (B. BLANCA),c.,C.A. TIGRE
C.A. HURACÁN,c.,C. AT. TUCUMÁN
C.A. UNIÓN,c.,C.A. TALLERES (CBA.)
C. DE G. Y ESGRIMA L.P.,c.,C.A. BOCA JRS.
C.A. N.O. BOYS,c.,C.A. INDEPENDIENTE
Fecha: 26,,06.05.18
C.A. N.O. BOYS,c.,C.S. Y D. DEF. Y JUSTICIA
C.A. INDEPENDIENTE,c.,C. DE G. Y ESGRIMA L.P.
C.A. BOCA JRS.,c.,C.A. UNIÓN
C.A. TALLERES (CBA.),c.,C.A. HURACÁN
C. AT. TUCUMÁN,c.,C. OLIMPO (B. BLANCA)
C.A. TIGRE,c.,C.A. LANÚS
A.A. ARGENTINOS JRS.,c.,C. DEP. GODOY CRUZ A.T.
C.A. SAN MARTÍN (S.J.),c.,C.A. VÉLEZ SARSFIELD
C.A. BANFIELD,c.,C.A. CHACARITA JRS.
C.A.TEMPERLEY,c.,C.A. PATRONATO (E.R.)
C.A. SAN LORENZO DE A.,c.,C.A. BELGRANO (CBA.)
C.A. COLÓN,c.,C.A. RIVER PLATE
C. ESTUDIANTES DE L.P.,c.,RACING CLUB
ARSENAL F.C.,c.,C.A. ROSARIO CTRAL.
Fecha: 27,,13.05.18
C.S. Y D. DEF. Y JUSTICIA,c.,ARSENAL F.C.
C.A. ROSARIO CTRAL.,c.,C. ESTUDIANTES DE L.P.
RACING CLUB,c.,C.A. COLÓN
C.A. RIVER PLATE,c.,C.A. SAN LORENZO DE A.
C.A. BELGRANO (CBA.),c.,C.A.TEMPERLEY
C.A. PATRONATO (E.R.),c.,C.A. BANFIELD
C.A. CHACARITA JRS.,c.,C.A. SAN MARTÍN (S.J.)
C.A. VÉLEZ SARSFIELD,c.,A.A. ARGENTINOS JRS.
C. DEP. GODOY CRUZ A.T.,c.,C.A. TIGRE
C.A. LANÚS,c.,C. AT. TUCUMÁN
C. OLIMPO (B. BLANCA),c.,C.A. TALLERES (CBA.)
C.A. HURACÁN,c.,C.A. BOCA JRS.
C.A. UNIÓN,c.,C.A. INDEPENDIENTE
C. DE G. Y ESGRIMA L.P.,c.,C.A. N.O. BOYS
